ID,Target_Death_Rate,RateOfIncidence,Income,Poverty%,Age,Ages_men,Ages_women,Location,SizeOfHousehold,Married%,Edu_less_HS,Edu_HSD,Edu_Clg,Edu_Bachdegree,Edu_HSD25,Edu_Bachdegree25,16+_Employed,16+_Unemployed,Prv_Public_HealthCov,Prv_HealthCov,Employ_PrvCov,Gov_HealthCov,Gov_HealthCov_Alone,White_Residents,Black_Residents,Married,Rate_Of_Birth
1,164.9,,61898,,39.3,,,"Kitsap County, Washington",2.9,52.5,11.5,39.5,42.1,,23.2,19.6,51.9,8,75.1,,41.6,32.9,14,81.78052858,2.594728333,52.85607588,
2,161.3,411.6,48127,18.6,33,32.2,33.7,"Kittitas County, Washington",2.34,44.5,6.1,22.4,64,7.5,26,22.7,55.9,7.8,70.2,53.8,43.623423,31.1,234234,89.22850915,0.969102455,45.37250044,3454.333096
3,174.7,349.7,49348,14.6,-,44,45.8,"Klickitat County, Washington",2.62,54.2,24,36.6,,9.5,29,16,45.9,7,63.7,43.5,34.9,42.1,21.1,90.9221902,0.739673391,54.44486837,3.729487817
4,,505.4,52313,15.6,45.4,43.5,48,"Mason County, Washington",2.58,50.4,29.9,35.1,,4.5,30.4,11.9,44.1,12.9,60,38.8,32.6,43.2,20.2,84.88263065,1.653205244,51.22035959,4.964476021
5,177.8,510.9,60397,,35.8,34.7,37,"Pierce County, Washington",2.65,50,15.6,36.3,,7.1,28.8,16.2,56.6,9.2,69.9,,44.4,31.4,16.5,74.72966791,6.710854162,50.06357342,5.533430211
6,121.4,413.3,54721,12.7,54.4,54,54.6,"San Juan County, Washington",2.04,56.8,17.7,32.4,,5.2,17.2,-,54.6,5.9,67.2,,27.9,41.6,18.3,92.57332665,0.651792429,50.0389206,4.586129754
7,188.3,398.9,52673,12.6,45.2,44.9,45.5,"Skamania County, Washington",2.49,54.4,20,43.8,,2.4,29.2,14.2,51.5,8.3,64.4,49.7,42.6,36.1,20.5,93.41812683,0.844970204,52.94771969,4.805591962
8,171,440.7,50083,,37.2,35.7,38.7,"Spokane County, Washington",2.45,49.4,10.9,29.3,51.2,8.6,25.7,18.1,55.1,8.4,65.2,50.6,42.5,36.5,234234,89.03816718,1.827041461,48.18837711,3455.355836
9,-,442.5,49819,15.7,36.9,35.5,39.1,"Walla Walla County, Washington",2.5,46.5,13.7,29.2,,5.6,22.6,16.4,54.5,6.4,65.7,47.6,40,38,18.8,86.23882396,1.649198004,49.3270649,4.138710893
10,163.3,490.9,53733,15.7,36.5,35.6,37.5,"Whatcom County, Washington",2.53,47.5,,22.1,,7.7,23,21.3,57.8,8.2,68.7,54.6,44.8,31.9,17.4,85.4703042,0.880733945,48.06875024,4.4729858
11,140.8,390.5,41837,28.4,24.2,24.4,23.9,"Whitman County, Washington",2.31,36.1,1.2,16.4,,10.3,-,25.7,53.4,8.8,78.3,66.2,53.8,22.9,11.9,83.58260051,2.154609838,40.55405483,3.304159034
12,189.7,445.2,35615,21.5,41.5,40.9,42.1,"Barbour County, West Virginia",2.68,52,9.8,36.1,45.8,8.3,47.1,7.9,46.5,9,55.6,40.1,36.5,44.8,26.4,96.84418146,0.836770068,55.28885946,2.292860865
13,200,463.1,56737,13.2,38.4,38,38.6,"Berkeley County, West Virginia",0.0263,51.8,17,40.8,32.2,10,38.2,12.7,58.7,9.7,70,,234234,33.1,17.3,87.80122144,7.333247489,51.52350516,0
